2382	2026-09-03T23:04:38Z	2026-09-04T16:39:00Z	docs(site): publish 2026 quality audit microsite	## Summary - publish a multi-page 2026 quality-audit microsite at `/quality/2026` - present the nine confirmed externally reported defects as source-linked case files, with issue #2348 documented separately as a release-provenance exception - add year-over-year context for delivery pace, test growth
2381	2026-09-03T06:01:14Z	2026-09-03T06:11:43Z	chore(deps): update dependency eslint-plugin-jest to v29.16.6	This PR contains the following updates: | Package | Change | [Age](https://docs.renovatebot.com/merge-confidence/) | [Confidence](https://docs.renovatebot.com/merge-confidence/) | |---|---|---|---| | [eslint-plugin-jest](https://redirect.github.com/jest-community/eslint-plugin-jest) | [`29.16.5` → `
2379	2026-09-02T10:57:00Z	2026-09-02T11:17:32Z	Fix merge queue manual acceptance check timeout	## Summary - run the manual-acceptance validator for merge-group check requests so its required status is reported on the synthetic queue commit - keep pull-request metadata validation on pull-request events, where the body and labels are available - refresh manual-acceptance validation when the des
2378	2026-09-01T20:53:26Z		fix(deps): update dependency open to v11.0.2	This PR contains the following updates: | Package | Change | [Age](https://docs.renovatebot.com/merge-confidence/) | [Confidence](https://docs.renovatebot.com/merge-confidence/) | |---|---|---|---| | [open](https://redirect.github.com/sindresorhus/open) | [`11.0.1` → `11.0.2`](https://renovatebot.co
2377	2026-09-01T20:45:08Z	2026-09-02T11:23:10Z	chore(deps): update dependency linkinator to v8.1.0	This PR contains the following updates: | Package | Change | [Age](https://docs.renovatebot.com/merge-confidence/) | [Confidence](https://docs.renovatebot.com/merge-confidence/) | |---|---|---|---| | [linkinator](https://redirect.github.com/JustinBeckwith/linkinator) | [`8.0.4` → `8.1.0`](https://re
2376	2026-08-31T18:54:21Z	2026-08-31T19:15:41Z	chore(deps): update jest monorepo to v30.5.0	This PR contains the following updates: | Package | Change | [Age](https://docs.renovatebot.com/merge-confidence/) | [Confidence](https://docs.renovatebot.com/merge-confidence/) | |---|---|---|---| | [@jest/globals](https://redirect.github.com/jestjs/jest) ([source](https://redirect.github.com/jestj
2375	2026-08-31T18:54:17Z	2026-08-31T19:03:38Z	chore(deps): update dependency @typescript-eslint/utils to v8.69.0	This PR contains the following updates: | Package | Change | [Age](https://docs.renovatebot.com/merge-confidence/) | [Confidence](https://docs.renovatebot.com/merge-confidence/) | |---|---|---|---| | [@typescript-eslint/utils](https://typescript-eslint.io/packages/utils) ([source](https://redirect.g
2374	2026-08-30T23:07:19Z	2026-08-30T23:21:20Z	fix(deps): update dependency posthog-node to v5.51.4	This PR contains the following updates: | Package | Change | [Age](https://docs.renovatebot.com/merge-confidence/) | [Confidence](https://docs.renovatebot.com/merge-confidence/) | |---|---|---|---| | [posthog-node](https://redirect.github.com/PostHog/posthog-js) ([source](https://redirect.github.com
2373	2026-08-30T22:55:29Z	2026-08-30T23:05:06Z	chore(deps): update dependency eslint-plugin-jest to v29.16.5	This PR contains the following updates: | Package | Change | [Age](https://docs.renovatebot.com/merge-confidence/) | [Confidence](https://docs.renovatebot.com/merge-confidence/) | |---|---|---|---| | [eslint-plugin-jest](https://redirect.github.com/jest-community/eslint-plugin-jest) | [`29.16.2` → `
2372	2026-08-30T22:50:50Z	2026-08-30T23:00:05Z	fix(deps): update dependency astro to v7.2.9	This PR contains the following updates: | Package | Change | [Age](https://docs.renovatebot.com/merge-confidence/) | [Confidence](https://docs.renovatebot.com/merge-confidence/) | |---|---|---|---| | [astro](https://astro.build) ([source](https://redirect.github.com/withastro/astro/tree/HEAD/package
2371	2026-08-30T13:04:02Z	2026-08-30T13:17:36Z	fix(deps): update dependency posthog-node to v5.51.3	This PR contains the following updates: | Package | Change | [Age](https://docs.renovatebot.com/merge-confidence/) | [Confidence](https://docs.renovatebot.com/merge-confidence/) | |---|---|---|---| | [posthog-node](https://redirect.github.com/PostHog/posthog-js) ([source](https://redirect.github.com
2370	2026-08-30T02:10:59Z		Version Packages	This PR was opened by the [Changesets release](https://github.com/changesets/action) GitHub action. When you're ready to do a release, you can merge this and publish to npm yourself or [setup this action to publish automatically](https://github.com/changesets/action#with-publishing). If you're not r
2369	2026-08-30T01:56:16Z	2026-08-30T02:09:40Z	fix(deps): update dependency js-yaml to v5.4.1	This PR contains the following updates: | Package | Change | [Age](https://docs.renovatebot.com/merge-confidence/) | [Confidence](https://docs.renovatebot.com/merge-confidence/) | |---|---|---|---| | [js-yaml](https://redirect.github.com/nodeca/js-yaml) | [`5.4.0` → `5.4.1`](https://renovatebot.com/
2368	2026-08-30T01:56:08Z	2026-08-30T02:06:11Z	fix(deps): update dependency astro to v7.2.8	This PR contains the following updates: | Package | Change | [Age](https://docs.renovatebot.com/merge-confidence/) | [Confidence](https://docs.renovatebot.com/merge-confidence/) | |---|---|---|---| | [astro](https://astro.build) ([source](https://redirect.github.com/withastro/astro/tree/HEAD/package
