2382	2026-09-03T23:04:38Z	2026-09-04T16:39:00Z	docs(site): publish 2026 quality audit microsite
2379	2026-09-02T10:57:00Z	2026-09-02T11:17:32Z	Fix merge queue manual acceptance check timeout
2370	2026-08-30T02:10:59Z		Version Packages
2367	2026-08-29T13:24:30Z		feat: implement product-led adoption foundation
2365	2026-08-29T12:33:19Z	2026-09-02T11:26:31Z	Fix OpenAPI watch input classification and overlay hot reload
2362	2026-08-29T12:20:25Z		fix(runtime): validate implicit 200 responses
2361	2026-08-29T11:43:47Z		test(repl): raise mutation score to 80%
2355	2026-08-28T13:41:26Z	2026-08-28T14:05:29Z	fix(release): allow version script to update lockfile on CI
2353	2026-08-28T12:47:38Z	2026-08-28T13:25:41Z	fix(ci): enable automatic npm publication
2347	2026-08-24T21:31:14Z	2026-08-24T21:41:04Z	fix logo on the home page
2345	2026-08-24T20:53:37Z	2026-08-24T21:03:35Z	fix(site): refresh satteri lockfile entries
2344	2026-08-24T19:58:17Z		feat: clarify CLI startup output
2339	2026-08-23T02:34:01Z	2026-08-28T04:46:24Z	Version Packages
2338	2026-08-23T02:23:54Z	2026-08-23T02:32:22Z	fix(ci): bootstrap release preflight directly
2335	2026-08-22T22:24:09Z	2026-08-22T22:44:02Z	fix: harden OpenAPI routing and lifecycle cleanup
2323	2026-08-19T23:56:03Z	2026-08-20T00:34:31Z	test: migrate black-box coverage to Cucumber journeys
2319	2026-08-18T16:54:23Z	2026-08-18T17:07:35Z	Only run black box tests on Windows
2318	2026-08-18T16:03:56Z	2026-08-18T16:54:17Z	chore: repair monorepo release preparation
2317	2026-08-18T15:48:14Z		feat: add HTTP response chaos rules
2316	2026-08-18T14:54:14Z		fix(runtime): reload atomic store replacements
2296	2026-08-09T21:37:14Z	2026-08-09T21:50:12Z	Update typescript-eslint monorepo to v8.66.0
2277	2026-08-03T00:39:46Z	2026-08-03T01:10:14Z	Document the “Model the Workflow, Not the Backend” pattern
2270	2026-08-01T23:03:35Z	2026-08-02T00:14:22Z	Version Packages
2268	2026-08-01T20:43:07Z	2026-08-01T23:02:42Z	Fix flaky Windows CI: StoreLoader watches parent directory instead of absent file path
2267	2026-08-01T20:22:59Z	2026-08-01T20:56:59Z	Version Packages
2266	2026-08-01T20:22:52Z	2026-08-01T20:42:00Z	Fix wide route random response typing
2263	2026-08-01T20:03:54Z	2026-08-01T20:09:23Z	Fix syntax error in src/app.ts: missing closing brace for startRepl property
2262	2026-08-01T15:19:30Z	2026-08-01T20:47:22Z	Add first-class shared store across API groups
2261	2026-08-01T11:30:52Z	2026-08-01T11:52:02Z	Version Packages
2260	2026-08-01T03:15:24Z	2026-08-01T11:17:52Z	fix: add Koa Request type augmentation for body and rawBody
2259	2026-08-01T03:14:52Z	2026-08-01T11:17:19Z	fix: regenerate site/package-lock.json to unblock npm ci
2258	2026-08-01T03:13:42Z	2026-08-01T11:30:02Z	Bug reports/openapi multi spec
2254	2026-07-31T22:27:48Z	2026-08-01T21:06:15Z	Update actions/checkout action to v7
2253	2026-07-31T19:45:03Z	2026-08-01T11:28:58Z	Sync site lockfile for broken-links workflow
2252	2026-07-31T19:02:49Z	2026-07-31T19:09:16Z	[WIP] Fix issues identified in Copilot run
2250	2026-07-31T18:53:26Z	2026-07-31T18:57:33Z	fix: sync site/package-lock.json with missing @emnapi dependencies
2133	2026-05-31T17:51:52Z	2026-08-01T03:27:01Z	Version Packages
2119	2026-05-25T00:55:25Z		feat: add chaos() API for HTTP-layer fault injection with default-on rules
2113	2026-05-23T17:47:20Z	2026-05-23T18:20:25Z	Add robots.txt and llms.txt to counterfact.dev
2109	2026-05-23T01:42:48Z		Add black-box behavioral specification for Counterfact
2108	2026-05-23T01:15:36Z		Reverse-engineer OpenAPI spec for the core Admin API
2106	2026-05-22T23:29:41Z	2026-05-23T01:17:07Z	Prioritize readability in `security/detect-object-injection` cleanup
2104	2026-05-22T22:56:30Z	2026-05-25T21:49:31Z	feat: append new HTTP method handlers to existing route files
2102	2026-05-22T22:53:32Z	2026-05-22T23:24:05Z	Watch code generation overlays for hot regeneration
2099	2026-05-22T22:08:10Z	2026-05-22T22:29:03Z	Bootstrap contributor Copilot skills for Counterfact internals
2097	2026-05-22T21:52:38Z	2026-05-22T22:05:33Z	Fix telemetry discussion redirect target and usage docs link
2087	2026-05-21T13:25:37Z	2026-05-21T13:51:39Z	Add SECURITY.md with vulnerability disclosure policy
2080	2026-05-16T20:47:58Z	2026-05-24T03:48:52Z	Version Packages
2069	2026-05-14T11:09:42Z	2026-05-14T14:29:06Z	Restore Google Analytics in Astro site layout
2067	2026-05-14T10:45:19Z	2026-05-14T16:28:55Z	Track website page views via PostHog in shared Astro layout and align site analytics CI config
2063	2026-05-11T23:38:36Z	2026-05-12T00:05:04Z	Enhance telemetry with privacy-safe startup, file-change, and REPL events
2059	2026-05-11T22:12:55Z	2026-05-22T22:16:21Z	feat: add OpenAPI Overlays support
2046	2026-05-09T21:51:35Z	2026-05-09T22:57:27Z	Add OpenAPI 3.2 JSON Schema keyword coverage for schema-based random generation
2045	2026-05-09T21:12:16Z	2026-05-22T21:55:06Z	Support OpenAPI `apiKey` security (`header`/`query`/`cookie`) in generated route types and `$.auth` (always present with empty-string default), and resolve recurring merge conflicts with `main`
2044	2026-05-09T21:01:19Z	2026-05-11T21:49:06Z	Support OpenAPI 3.2 `additionalOperations` for custom HTTP methods (including example.yaml fixture examples and merge conflict resolution)
2043	2026-05-09T21:01:01Z	2026-05-09T21:25:42Z	OpenAPI 3.2: cover discriminator `defaultMapping` when `propertyName` is omitted
2035	2026-05-05T11:57:46Z	2026-05-09T20:42:57Z	feat: Support OpenAPI 3.2 `xml.nodeType` in JSON-to-XML serialisation
2031	2026-05-05T08:00:44Z	2026-05-05T10:37:02Z	fix: resolve broken site links and add CI link checker
2029	2026-05-05T07:50:44Z	2026-05-05T11:37:33Z	feat: set `name` field on injected Counterfact server entry (OpenAPI 3.2)
2028	2026-05-05T07:49:58Z	2026-05-09T18:44:01Z	OpenAPI 3.2: Include discriminator.defaultMapping in generated union types
2027	2026-05-05T07:49:22Z		feat: emit @deprecated JSDoc for operations using deprecated security schemes (OpenAPI 3.2)
2026	2026-05-05T07:48:59Z	2026-05-05T22:00:40Z	Add regression tests for $ref resolution on components/mediaTypes (OpenAPI 3.2)
2025	2026-05-05T07:47:54Z	2026-05-09T22:55:11Z	feat: OpenAPI 3.2 streaming responses and SSE via itemSchema
2020	2026-05-05T02:41:58Z	2026-05-09T20:42:57Z	feat: prefer dataValue over value in OpenAPI 3.2 example responses
2019	2026-05-05T02:40:05Z	2026-05-09T20:50:00Z	OpenAPI 3.2: Add regression tests for $self document identity and $ref resolution
2018	2026-05-05T02:37:26Z	2026-05-05T02:55:01Z	feat: add native QUERY HTTP method support (OpenAPI 3.2)
2017	2026-05-05T02:34:34Z	2026-05-09T21:29:42Z	feat: support OpenAPI 3.2 `querystring` parameter location
2001	2026-05-05T02:31:06Z	2026-05-05T02:53:35Z	Fix broken relative links on .md alias doc pages
1997	2026-05-05T02:01:25Z	2026-05-05T02:13:05Z	Add build-simulation skill: prompt for AI-guided API simulation from OpenAPI spec
1993	2026-05-05T01:37:07Z	2026-05-05T02:02:42Z	docs: document multi-version API support
1991	2026-05-05T00:38:41Z	2026-05-16T18:11:09Z	Version Packages
1972	2026-04-30T14:41:14Z	2026-05-04T15:08:40Z	fix: include path-item-level parameters in generated TypeScript types and server runtime
1970	2026-04-28T00:52:13Z	2026-04-28T02:20:44Z	fix: cast OAS3 schema-typed parameters at runtime
1966	2026-04-27T23:24:53Z	2026-05-05T01:39:38Z	Set up Astro with GitHub Pages, migrate homepage, and publish docs as site pages
1964	2026-04-27T23:02:29Z	2026-04-27T23:20:19Z	docs: fix CLI reference, programmatic API example, and without-openapi syntax errors
1962	2026-04-26T01:56:23Z	2026-05-05T00:37:33Z	Add "Multiple API Versions" pattern and restructure patterns index
1960	2026-04-26T01:47:24Z		feat: update ParametersTypeCoder and ParameterExportTypeCoder to emit output under version subdirectories
1959	2026-04-26T01:47:06Z		feat: version-aware scenario loading and $.version in startup scenario
1956	2026-04-26T00:28:33Z	2026-04-26T00:45:48Z	fix: update usage link in REPL and CLI banner to GitHub docs
1954	2026-04-25T23:38:28Z	2026-04-26T01:53:55Z	fix: separate mapped type from explicit properties in generated response object type
1952	2026-04-25T19:22:04Z	2026-05-05T00:10:25Z	Version Packages
1951	2026-04-25T17:38:13Z	2026-04-25T19:21:15Z	docs(workflow): add explanatory comment to manual-acceptance-tests.yaml
